Ticker,Value
KURA,2.2813992790809965
ALJJ,2.0244956235239475
ENLV,1.928357225003797
SYRS,1.838079923842939
IMNM,1.7961441558562348
AKER,1.574103016110056
SONN,1.527419365471323
LMNL,1.5054545523002827
CATB,1.478487034945264
OXBR,1.4544247940378854
